section,model_key,model_a,model_b,rank,repo_name,quality_percent,same_order,spearman,consensus_quality_percent
model_ranking,CodeLlama,,,1,wazuh,48.14,,,
model_ranking,CodeLlama,,,2,electron,17.24,,,
model_ranking,CodeLlama,,,3,svelte,12.22,,,
model_ranking,CodeLlama,,,4,OpenHands,10.76,,,
model_ranking,CodeLlama,,,5,logstash,6.58,,,
model_ranking,CodeLlama,,,6,ml-agents,2.39,,,
model_ranking,CodeLlama,,,7,puppeteer,0.0,,,
model_ranking,DeepSeekCoder,,,1,wazuh,47.75,,,
model_ranking,DeepSeekCoder,,,2,svelte,19.35,,,
model_ranking,DeepSeekCoder,,,3,electron,16.41,,,
model_ranking,DeepSeekCoder,,,4,OpenHands,14.93,,,
model_ranking,DeepSeekCoder,,,5,logstash,5.36,,,
model_ranking,DeepSeekCoder,,,6,ml-agents,1.82,,,
model_ranking,DeepSeekCoder,,,7,puppeteer,0.0,,,
model_ranking,Mistral,,,1,wazuh,45.14,,,
model_ranking,Mistral,,,2,electron,16.41,,,
model_ranking,Mistral,,,3,svelte,12.22,,,
model_ranking,Mistral,,,4,OpenHands,9.66,,,
model_ranking,Mistral,,,5,logstash,6.86,,,
model_ranking,Mistral,,,6,ml-agents,2.58,,,
model_ranking,Mistral,,,7,puppeteer,0.0,,,
model_ranking,Qwen,,,1,wazuh,45.09,,,
model_ranking,Qwen,,,2,logstash,35.03,,,
model_ranking,Qwen,,,3,OpenHands,25.25,,,
model_ranking,Qwen,,,4,electron,21.26,,,
model_ranking,Qwen,,,5,svelte,13.24,,,
model_ranking,Qwen,,,6,ml-agents,0.13,,,
model_ranking,Qwen,,,7,puppeteer,0.0,,,
pairwise_stability,,CodeLlama,DeepSeekCoder,,,,false,0.964,
pairwise_stability,,CodeLlama,Mistral,,,,true,1.0,
pairwise_stability,,CodeLlama,Qwen,,,,false,0.679,
pairwise_stability,,DeepSeekCoder,Mistral,,,,false,0.964,
pairwise_stability,,DeepSeekCoder,Qwen,,,,false,0.643,
pairwise_stability,,Mistral,Qwen,,,,false,0.679,
consensus_ranking,,,,1,wazuh,,,,46.53
consensus_ranking,,,,2,electron,,,,17.83
consensus_ranking,,,,3,OpenHands,,,,15.15
consensus_ranking,,,,4,svelte,,,,14.26
consensus_ranking,,,,5,logstash,,,,13.46
consensus_ranking,,,,6,ml-agents,,,,1.73
consensus_ranking,,,,7,puppeteer,,,,0.0
